#        k_frame                  mesh_V                 im_ener                  im_err                 reg_ener       
            0               0.359999999999997              0.0                     0.0             0.22071498401030026  
            1               0.3606318050402051     0.008384034475535058    0.013242622190970514    0.017409677951581656 
            2              0.36081851531333836     0.01802125568615166     0.028464658769590197    0.03017503463590362  
            3              0.36217527252403703     0.018515559557206615    0.029245414076717824    0.013803492438959453 
            4               0.3633526437875901     0.017017642790591963    0.026879447444342775    0.01656507466079799  
            5               0.3640686389122571     0.012190677161383608    0.019255232355183435    0.023045679694515615 
            6              0.36423792221969953     0.01678379358026844     0.026510081508288035    0.03848164739820295  
            7              0.36553059242851565     0.021572456684338086    0.03407379757745263     0.016789329253049618 
            8              0.36658633492449727     0.01824870034323511     0.028823908683447304    0.02198480756000024  
            9              0.36732509809289376     0.01531995652128232      0.024197943935636      0.030776509279348285 
            10             0.36786291148722466     0.01799488120486908     0.02842300015140021     0.03255263991708828  
            11             0.36926203365713434     0.022362822731982226    0.035322184495715385    0.02518092791535415  
            12              0.3706461590607866     0.019662487598357033    0.031056992353680427    0.029980406365724546 
            13              0.3715874300517992     0.01885091910070971     0.029775116065146778    0.026066177992067924 
            14             0.37238031236620156     0.020439568222015547    0.03228439488179047      0.0256195290682057  
            15             0.37380459832404744     0.01827631987010695     0.028867533857046535    0.02582955686578487  
            16             0.37505795886158766     0.017776309987156246    0.02807776587708543     0.02285345109844668  
            17              0.3756564374268107     0.018559920053319957    0.02931548169057929     0.03062154394066018  
            18             0.37668040307530337     0.025549804401548106    0.040356037147772375    0.02581308155982566  
            19             0.37800122613880754     0.02164750153075889     0.03419233126805588      0.0300753223638027  
            20             0.37898023694740973     0.02080393650156153      0.0328599163062886     0.027024339709882196 
