#        k_frame                  mesh_V                 im_ener                  im_err                 reg_ener       
            0               0.359999999999997              0.0                     0.0             0.16051998837112746  
            1              0.36130666157713526     0.06321240258519548     0.09937748102134848     0.23750383930637445  
            2               0.3615899223013737     0.06514342256973787     0.10241327611879111     0.24985688494762387  
            3               0.3627906012361909     0.06646105692489562     0.10448475541347993     0.24083331430970092  
            4              0.36410903691738944      0.0660573972692781     0.10385015400418926     0.23073532655672851  
            5              0.36417483327691486     0.06489575313447128      0.1020239100514343     0.25094524041002625  
            6               0.3639307445267197     0.06389635507490148     0.10045273639506497      0.2505041209967732  
            7              0.36662131334387144     0.06540699667048146     0.10282764622850277     0.24342327148476553  
            8               0.3672646368843063     0.06610255812233386     0.10392115228354444      0.2716973479169977  
            9               0.3675456231244065     0.06430759536170927     0.10109925546610289      0.2706964033425922  
            10             0.36794727820915757     0.06548188743629295     0.10294538349767356     0.23973352645438276  
            11             0.36976860603343015     0.06658438824620756     0.10467864704774421     0.25252798272217575  
            12             0.37097368662619007     0.06705878112715366      0.1054244495737492     0.23824371544610196  
            13             0.37163590447604533     0.06741537212886663     0.10598505341185444      0.2287932425847867  
            14              0.3723255988898539     0.06580829657055937     0.10345853781896418     0.22202701166843405  
            15             0.37401688479144385     0.06591533771785646     0.10362681934519923     0.24372217118484554  
            16             0.37423390621760483     0.06836317120819889     0.10747510728049908     0.24141068598884852  
            17             0.37610036596215257     0.06527277178135849     0.10261662859864076      0.2652688358052547  
            18              0.3771448268579564     0.06794393221242792      0.1068160132792944     0.24858695152864518  
            19              0.3774118956086525     0.06541275272398354     0.10283669543521327     0.22621810927822283  
            20              0.3784509420913032     0.06774080662795706     0.10649667548971271     0.24424649763658848  
