#        k_frame                  mesh_V                 im_ener                  im_err                 reg_ener       
            0               0.359999999999997              0.0                     0.0             0.18058498691751843  
            1              0.36130557468138574      0.0632101827227259     0.09937399113120954     0.23777949259564535  
            2               0.3615890541637335      0.0651415130956525     0.10241027419643221     0.25008254453223655  
            3               0.3627904525552752     0.06646107917077666     0.10448479038667396      0.2409799836239323  
            4              0.36417887495262197     0.06604888082529606     0.10383676513245552     0.23039270184771615  
            5              0.36417519121319886     0.06489419953237295     0.10202146760253618       0.25107581185758   
            6               0.3639312373934135     0.06388545134164005     0.10043559441815958      0.2502176954820738  
            7               0.3666198408186309     0.06540800257933109     0.10282922763790227     0.24387508084748558  
            8               0.3672704973571685     0.06610134748455596     0.10391924901570654     0.27211259262997156  
            9               0.3675496040801347     0.06430900766269235     0.10110147577269467     0.27050134372180157  
            10              0.3679454093256788     0.06548279089188355     0.10294680383825763     0.23963971873931703  
            11             0.36983395231301874     0.06659643161535893     0.10469758066900088      0.2528260718870134  
            12              0.3709716828756575      0.0670565194307831     0.10542089391569874     0.23701822290632502  
            13             0.37165073692832595     0.06741750551106883     0.10598840734463726      0.2290058575677396  
            14              0.3723228076852817     0.06580204834765384      0.1034487148629015     0.22115169039681346  
            15              0.3740720796792632     0.06592585420229292     0.10364335252049006     0.24061405554941306  
            16             0.37427453354511125     0.06836868272271059     0.10748377204257718     0.24207423293308364  
            17              0.3762453384554285     0.06530988015838282     0.10267496741954697      0.2826957287407025  
            18             0.37713846531839396     0.06794226009349305      0.1068133845077097     0.24831398298095975  
            19              0.3774323394200353      0.0654080331221665     0.10282927565490403     0.22606038777125043  
            20              0.3784429307878474     0.06773413374926122     0.10648618492379791     0.24341842966567387  
