#                                  k_frame                                                                       mesh_V                                                                      im_ener                                                                       im_err                                           reg_discrete-equilibrated_ciarletgeymonatneohookean_0.05_ener         reg_discrete-tractions-normal-tangential_ciarletgeymonatneohookean_0.05_ener
                                      0                                                                    0.359999999999997                                                                   0.0                                                                          0.0                                                                  0.20064998546390933                                                                  0.0                                     
                                      1                                                                    0.3606682905288271                                                          0.008404100206370696                                                         0.013274316107928688                                                         0.02386655123921838                                                          0.011121973560275101                            
                                      2                                                                    0.3609249968793424                                                          0.018086458808385684                                                         0.028567647410194727                                                         0.04097947054029049                                                          0.024662056720928086                            
                                      3                                                                   0.36224801012238433                                                          0.018532224918462837                                                         0.02927173709380896                                                          0.02430499003197799                                                          0.007582949098853044                            
                                      4                                                                   0.36340547177369503                                                          0.017039040737583798                                                         0.026913245603033816                                                         0.024206150160219788                                                         0.004390226366650073                            
                                      5                                                                   0.36413780244375055                                                          0.012175650880459892                                                         0.019231498273246054                                                         0.03288101314941133                                                           0.0079757443033707                             
                                      6                                                                    0.3643915764990041                                                          0.01681798655505213                                                          0.026564089474019458                                                         0.05103278759962292                                                          0.02457781066299527                             
                                      7                                                                    0.3656803667497742                                                          0.021597410672091647                                                         0.03411321251938098                                                          0.025966891271361155                                                         0.011767125544807524                            
                                      8                                                                    0.3667097820854572                                                          0.018283388582767363                                                         0.028878698922196435                                                         0.031817288797264504                                                         0.016014484221300963                            
                                      9                                                                   0.36749032758662825                                                          0.015373265288764752                                                         0.024282145386536055                                                         0.04395122423154125                                                          0.019614521543095773                            
                                      10                                                                   0.3680524863357004                                                          0.01802382354000426                                                          0.028468714706920948                                                          0.0528840719076795                                                          0.026843567707441764                            
                                      11                                                                   0.3694230591180907                                                          0.022354534242357657                                                         0.03530909278706936                                                          0.03694664398274599                                                          0.01605655841379173                             
                                      12                                                                  0.37075466221196995                                                          0.019638185812170875                                                         0.031018607567218956                                                         0.042787453454279645                                                         0.013149922492639979                            
                                      13                                                                   0.3716533735362252                                                           0.0188365699135601                                                          0.029752451456034744                                                         0.04110229057277198                                                          0.013962666407082665                            
                                      14                                                                   0.372519167922269                                                           0.020450065044583972                                                          0.0323009746627879                                                          0.04513062610709517                                                          0.018396544572659927                            
                                      15                                                                  0.37388430696500563                                                          0.01822046807282695                                                          0.028779315678528306                                                         0.041264264714970265                                                         0.009640366085739637                            
                                      16                                                                   0.3750813505246228                                                          0.017745820684667638                                                         0.028029607879297966                                                         0.039082874379365536                                                         0.008235305269664808                            
                                      17                                                                  0.37571992789611425                                                          0.01851682756209722                                                          0.02924741689645235                                                          0.05268721917435148                                                          0.018576460536757766                            
                                      18                                                                   0.3768139492683923                                                          0.025531849641356626                                                         0.040327677518951784                                                         0.04718290172999473                                                          0.014075539798408698                            
                                      19                                                                   0.3780546033521593                                                          0.021621231856005427                                                         0.03415083819227537                                                           0.0466970946003324                                                          0.011232289630221012                            
                                      20                                                                  0.37901279276536953                                                          0.020833588555682302                                                         0.032906751866310854                                                         0.044706392179282586                                                         0.012884278745953973                            
