#        k_frame                  mesh_V                 im_ener                  im_err                 reg_ener       
            0               0.359999999999997              0.0                     0.0             0.20064998546390933  
            1              0.36064966769845114     0.008459106968911237    0.013361199550070821    0.012766761695628563 
            2               0.3608538425548848     0.01811647988534247     0.028615065843535483    0.01859639016198235  
            3              0.36216041312859654     0.018541664180051043    0.029286646452225736    0.009502807362873057 
            4               0.3633443749063605     0.017048961045501056    0.026928914776407287    0.009246388162720078 
            5               0.364093374512822      0.01225203652670242     0.019352149763522564    0.01273064720588296  
            6              0.36432689430581916     0.016978983098891304    0.026818384278070602    0.02291888702476021  
            7               0.3655471005792271     0.021591072901158352    0.03410320198015342     0.009988240033533267 
            8               0.3666018967386855     0.018276978130770206    0.02886857358288403     0.012605302377007457 
            9               0.3673661413130733     0.015367279955709552    0.02427269152460736     0.01782387258862703  
            10              0.367919675779632      0.018115041869108492    0.02861279449007831     0.019990493829148987 
            11             0.36930054718078603     0.022393723900977925    0.03537099303860288     0.015995577312416104 
            12              0.3707011998366324     0.019721301330122756     0.0311498889217572     0.015613673482874877 
            13              0.371632588958623      0.018924082764208712    0.02989067841840902     0.01580348457536611  
            14              0.3723994369093963      0.0204858879765025     0.03235755715353913     0.015698700583812505 
            15              0.3738308719622268     0.018347524646815567    0.028980002139339045    0.014565651579033495 
            16              0.3750640639424315     0.017834866866974854    0.028170256746294364     0.014352432166329   
            17             0.37568927058551493     0.01871751815278097     0.029564408635627905    0.02186318484764816  
            18             0.37671887175227675     0.025584115080183916    0.040410231027296094    0.01591107236984032  
            19             0.37803124558643525     0.021736216488266256    0.03433245696391105     0.016171714125177372 
            20             0.37902223298323273     0.020861099747599914    0.032950205924336416    0.01575321685927027  
