#        k_frame                  mesh_V                 im_ener                  im_err        
            0              0.35999999999999727             0.0                     0.0          
            1              0.36166587740275813     0.045971375495935406    0.07215897117779926  
            2              0.36149375271015255     0.04963732919927681     0.07791323553828043  
            3               0.3634694905550286     0.051357755385653105    0.08061370256274948  
            4               0.362695090227776       0.0507105842530788     0.07959787037154907  
            5               0.361547152382347      0.048922723561062684    0.07679155477291058  
            6               0.3619120690437283     0.04993082689216542     0.07837392420233341  
            7               0.3639241555918373     0.050666361621110205     0.079528456315711   
            8               0.3649879274056028     0.05038685961284041     0.07908973597851637  
            9               0.3644331648464225     0.04991280599878197     0.07834563770639487  
            10              0.365089572765615      0.05146127616816645     0.08077619396269345  
            11             0.36811262261977035     0.05343568410756934     0.08387532345480941  
            12             0.37026320182290684     0.052184885399187204    0.08191200721783158  
            13              0.368695231803347       0.0527293497559306      0.082766625714706   
            14              0.3700857114643833     0.05076502752397404      0.0796833272536409  
            15             0.37229532786442326     0.050224713929729534    0.07883522400127009  
            16              0.3725830301365904     0.05298755292459217      0.0831719143275541  
            17             0.37332232377972957     0.05127274669828429     0.08048026867360578  
            18              0.3724774399548418      0.0549721562132513     0.08628704694999176  
            19             0.37357624523477045     0.05210651122413598      0.0817889871911825  
            20             0.37628859198708675     0.05317549549544089     0.08346691839055312  
