#                              k_frame                                                               mesh_V                                                              im_ener                                                               im_err                                    reg_discrete-equilibrated_ciarletgeymonatneohookean_0.2_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.2_ener
                                  0                                                            0.3600000000000002                                                          0.0                                                                  0.0                                                          0.18929694486000911                                                          0.0                                 
                                  1                                                            0.3608725899749582                                                  0.007916417454793498                                                 0.012474210810118968                                                0.0025804112161515397                                                2.9619407341959837e-05                       
                                  2                                                            0.3615762103116723                                                  0.022947447526828934                                                 0.03615919696484402                                                  0.006196305619583359                                                4.997558630721013e-05                        
                                  3                                                           0.36269338039584126                                                  0.023064722079913478                                                 0.03634399109756794                                                 0.0017127655710367997                                                5.128854801300263e-05                        
                                  4                                                           0.36378010584545056                                                  0.02036649499513325                                                  0.03209228839728389                                                  0.002200191681906174                                                1.5080743303269608e-05                       
                                  5                                                            0.3646429688610442                                                  0.014487263276549747                                                 0.022828151396178546                                                0.0029930684212737357                                                2.7952549580079826e-05                       
                                  6                                                            0.3652938074087843                                                  0.020900882281927928                                                 0.03293434349452841                                                  0.00826313700624921                                                 0.00014193922304903426                       
                                  7                                                            0.3665106092937074                                                  0.02655684905541193                                                  0.04184667312726481                                                  0.004800095396284748                                                7.030985179749031e-05                        
                                  8                                                            0.3675677669139805                                                  0.023189631810835654                                                 0.03654081628075923                                                  0.006132833557710804                                                0.00016653444400438472                       
                                  9                                                           0.36833300225270643                                                  0.01954067635250647                                                  0.03079101343321348                                                  0.006327432828957784                                                6.739459012690153e-05                        
                                  10                                                          0.36922474924398563                                                  0.022963754840250032                                                 0.03618489304094449                                                  0.008679408104890448                                                0.00010977689152808652                       
                                  11                                                           0.3704105612795146                                                  0.028128010895373323                                                 0.04432241472634198                                                  0.007391517019438231                                                0.00014340749152260874                       
                                  12                                                          0.37148930880707626                                                  0.024209011600466904                                                 0.03814709316851169                                                  0.007656014885387033                                                0.00012951049544305125                       
                                  13                                                          0.37249321246994943                                                  0.02343616427477775                                                  0.03692928719507283                                                  0.008662401685603326                                                0.0001517338595437127                        
                                  14                                                          0.37353324354169487                                                  0.025562566626484533                                                 0.040279943139355026                                                 0.00963335289807625                                                  0.000177070753833088                        
                                  15                                                           0.374746792580961                                                   0.02295777237295411                                                  0.03617546623157773                                                  0.009266085082682967                                                0.00022258625323754412                       
                                  16                                                          0.37579858378812786                                                  0.02218338442264098                                                  0.03495523263523388                                                  0.009910781417041714                                                0.00023474669323432154                       
                                  17                                                          0.37671837601561503                                                  0.024445688525421203                                                 0.03852003432183389                                                  0.011652587653630768                                                0.0002676427404114835                        
                                  18                                                          0.37790425379144493                                                  0.03270068142258773                                                  0.051527751792940404                                                 0.011272055071713824                                                0.00025300329452599785                       
                                  19                                                           0.3790528696137616                                                  0.028186033597121508                                                 0.04441384338299288                                                  0.011206792119969783                                                0.0002430148713843442                        
                                  20                                                           0.380030968371528                                                   0.027062457539030926                                                 0.04264338033075229                                                  0.01196398537182427                                                 0.00023756620234889015                       
