#        k_frame                  mesh_V                 im_ener                  im_err                 reg_ener       
            0              0.35999999999999727             0.0                     0.0             0.22057217261779363  
            1              0.36066647813721625     0.008528538986733919    0.013460403018135588    0.013758963753424674 
            2               0.3608486946709756     0.018128219567435266    0.028611364942868988    0.026446601422677435 
            3               0.3621973305608117     0.018637946580867447    0.02941585572853582     0.011584942620967868 
            4               0.3633876983814899     0.017050847217654964    0.02691097217322859     0.013957505225000843 
            5              0.36409378089907996     0.012241072281581077    0.019319811580917667    0.019663671402710886 
            6              0.36431309110881527     0.01692697911685058     0.026715473910218765     0.0330574343215995  
            7               0.3656104053356807     0.021676256013395782    0.03421115179498389     0.013179254610934152 
            8               0.3666630509100051     0.018338001766295697    0.028942459512183192    0.022235376592106025 
            9              0.36739981073955164     0.015439940515377358    0.024368514025238555    0.027741912727446912 
            10              0.3678700759937634     0.018107257696164527    0.02857828128859276     0.03125675113467676  
            11              0.369266574141647      0.022469749313827794    0.03546350458748672     0.022160249635624213 
            12             0.37069761550996394     0.019716571806427066    0.031118225884097475    0.026322344513634254 
            13             0.37154098716291456     0.018896345467298886    0.02982368093238549     0.02487889812377385  
            14             0.37236358680645987     0.02050194326977786      0.032357760162136      0.02303309607766364  
            15             0.37377015247321954     0.018317044954715523    0.028909383843503826    0.024475991115043214 
            16              0.3750055658305233     0.01779986097156778     0.028093123888718857    0.020693245432924712 
            17              0.3755808230071583     0.018611295664363495    0.029373793180952477    0.028219562186653703 
            18              0.3766730917407419     0.025594093624392262    0.04039458758459007      0.0231500837215283  
            19             0.37798440304328984     0.021677814088132037    0.03421361086961731     0.027223048960580355 
            20              0.3789467431301681     0.02083169036648974     0.032878192656225096    0.024188627072626895 
