#                                   k_frame                                                                        mesh_V                                                                       im_ener                                                                        im_err                                            reg_discrete-equilibrated_ciarletgeymonatneohookean_0.025_ener        reg_discrete-tractions-normal-tangential_ciarletgeymonatneohookean_0.025_ener
                                       0                                                                     0.359999999999997                                                                    0.0                                                                           0.0                                                                   0.20064998546390933                                                                   0.0                                     
                                       1                                                                     0.3606282348326427                                                           0.008318887068567664                                                          0.013139721552893698                                                          0.03478115758927982                                                           0.015261464525447407                            
                                       2                                                                     0.3608228745759421                                                           0.017977361013367298                                                          0.028395326925884666                                                          0.061708230946521156                                                           0.0363654809587075                             
                                       3                                                                     0.3622477971936415                                                           0.018491893652466555                                                          0.02920803366801428                                                           0.03766607435956824                                                           0.010403435709212238                            
                                       4                                                                    0.36341135967205473                                                           0.016995741923183434                                                          0.02684485492046993                                                           0.03861424996993555                                                           0.007787858926449053                            
                                       5                                                                     0.3641075196064626                                                           0.012101626542826998                                                          0.01911457648111009                                                           0.050077287131442445                                                          0.01235482940942336                             
                                       6                                                                     0.3642536072937225                                                           0.01661465512656259                                                           0.026242926519013186                                                          0.07691260040970542                                                           0.03876616636606944                             
                                       7                                                                     0.3656140815596275                                                           0.021548511163964394                                                           0.0340359755145305                                                           0.046219062590351065                                                           0.0205087801275329                             
                                       8                                                                     0.366646551923374                                                            0.01822715144336366                                                           0.028789872093967456                                                          0.050189061538395516                                                          0.024289887410011396                            
                                       9                                                                    0.36736781958567544                                                           0.015281908190389692                                                          0.02413784641665771                                                           0.07228257324998037                                                           0.02883534711101466                             
                                       10                                                                    0.3678414948818901                                                           0.017837881458272014                                                          0.028175018307536145                                                          0.08579510050074197                                                           0.04578242394748107                             
                                       11                                                                   0.36930940068046236                                                           0.022278157630946486                                                          0.035188455567351805                                                          0.062362836353255624                                                          0.02835129273709405                             
                                       12                                                                   0.37067137543037393                                                           0.01952234698939371                                                           0.030835639597614213                                                           0.0718658941868015                                                           0.024758975556087037                            
                                       13                                                                   0.37153664481299326                                                            0.0187088003421093                                                           0.029550638812353175                                                           0.0694782833491224                                                           0.028014018802179543                            
                                       14                                                                   0.37237808064776406                                                           0.020327600154796753                                                          0.032107540788935955                                                          0.07066498992435875                                                           0.03029637754211694                             
                                       15                                                                    0.373815941313681                                                            0.018073107049977406                                                          0.028546558244507025                                                          0.07190703234975186                                                           0.024380490280934485                            
                                       16                                                                   0.37503256038069643                                                           0.01761855233119186                                                           0.02782858691178351                                                           0.06530055268794575                                                           0.018226383502409623                            
                                       17                                                                    0.3756108696232517                                                           0.018301562687055222                                                          0.02890740500605686                                                            0.0868458297282499                                                           0.03302882093241725                             
                                       18                                                                   0.37673674764147536                                                           0.025431638892526226                                                          0.04016939416621658                                                           0.07536432006881866                                                           0.019784595003101008                            
                                       19                                                                    0.378013235557354                                                            0.021481824138360844                                                          0.033930643041520714                                                          0.07612714575813528                                                           0.01527272834372151                             
                                       20                                                                    0.3789439704119546                                                           0.020748410500548584                                                          0.03277221272451832                                                           0.07106982075436172                                                           0.017214205252270767                            
