#        k_frame                  mesh_V                 im_ener                  im_err        
            0               0.3600000000000002             0.0                     0.0          
            1              0.36046099950108207     0.061061411702245195    0.09571528085199263  
            2              0.36157756563008975      0.0658260315664763     0.10318394093934358  
            3               0.3628784420470116     0.06721852408208717     0.10536670757542992  
            4              0.36376584850288063     0.06509076592264587     0.10203139376367022  
            5              0.36374584002655685     0.062208140091226376    0.09751280610980206  
            6              0.36439265875874066     0.06332606288500096     0.09926517788100768  
            7              0.36718587555763593     0.06758091315745512     0.10593476146019232  
            8               0.3677668199629914     0.06506534005024069     0.10199153807657874  
            9               0.3672870834847414      0.0638508839312253     0.10008784791820488  
            10              0.3689674402703894      0.0649347887067901     0.10178689560016645  
            11              0.3704192587810702      0.067084154447766      0.10515607983315388  
            12              0.3712817009690948     0.06723806702528755     0.10539734162474111  
            13              0.3715954725759342     0.06667511382883358     0.10451489849407997  
            14              0.3720329704532498     0.06779060498068377      0.1062634586061176  
            15              0.3741605716258272     0.06473210893149575     0.10146919001370022  
            16              0.3751486323485087     0.06693716265860943     0.10492566654938205  
            17             0.37653867815626196     0.06564341903486842     0.10289769125623481  
            18             0.37735898486290187     0.06951475448752308     0.10896610582106694  
            19             0.37853562275708774     0.06820414225549548      0.1069116885650708  
            20              0.379909564910505       0.0672777792050968     0.10545959145385123  
