#                                  k_frame                                                                      mesh_V                                                                     im_ener                                                                      im_err                                           reg_discrete-equilibrated_ciarletgeymonatneohookean_0.1_ener        reg_discrete-tractions-normal-tangential_ciarletgeymonatneohookean_0.1_ener
                                      0                                                                   0.3600000000000002                                                                 0.0                                                                         0.0                                                                 0.18929694486000911                                                                 0.0                                    
                                      1                                                                   0.3608060065048946                                                         0.007912173702699333                                                        0.012467523762783378                                                       0.0036383335375286354                                                        0.005937661807856038                           
                                      2                                                                   0.3614470273671942                                                         0.022819441754635354                                                        0.03595749322746873                                                         0.008050691933994832                                                        0.013592581909309584                           
                                      3                                                                  0.36259518476829333                                                         0.023009542808869077                                                        0.036257042946679335                                                        0.002520065754781963                                                        0.004030700213284117                           
                                      4                                                                   0.3636302449742817                                                         0.020348967781290524                                                        0.032064670076037353                                                        0.002906828591310339                                                       0.0057681899872625555                           
                                      5                                                                  0.36441086892617097                                                         0.01435583132609863                                                         0.02262104889476617                                                        0.0035663612013000913                                                        0.006310361676024383                           
                                      6                                                                  0.36505894790979815                                                         0.020716080283516312                                                        0.03264314370630578                                                         0.008305858330563609                                                        0.012780494162848667                           
                                      7                                                                  0.36621966380989335                                                         0.026358604898480357                                                        0.041534292000377504                                                        0.004614459895455468                                                        0.010762636275519136                           
                                      8                                                                   0.3672452707675502                                                         0.022666386395979093                                                        0.03571631787000442                                                        0.0055651313191720396                                                        0.01516640077202016                            
                                      9                                                                   0.3679278518399198                                                         0.018851976787389074                                                        0.029705802400676322                                                        0.005798066930522925                                                        0.013867888185233945                           
                                      10                                                                 0.36875403673922313                                                         0.022313040682538036                                                        0.03515953711109602                                                         0.009058947771908469                                                        0.016789381969294113                           
                                      11                                                                 0.36992980096154676                                                         0.02760264353689075                                                         0.04349457268543259                                                         0.006302032407321235                                                        0.01653240343987038                            
                                      12                                                                  0.3709989708753698                                                         0.023582295728303816                                                        0.03715955228249182                                                        0.0070088579319848065                                                        0.01766068109769327                            
                                      13                                                                  0.3719431709423836                                                         0.02269689190924756                                                         0.03576438660886954                                                         0.008774856904611252                                                        0.01813497418911588                            
                                      14                                                                  0.3729351663070185                                                         0.024924473385184005                                                        0.039274474484632275                                                        0.009568539434186544                                                        0.02118895919568948                            
                                      15                                                                  0.3741577004767737                                                         0.022155483573518285                                                        0.03491126816826062                                                         0.008563436092252024                                                        0.02274715529953143                            
                                      16                                                                 0.37512923185789826                                                         0.021304447876870667                                                        0.03357025769887327                                                         0.009684456012527433                                                        0.023805599046189226                           
                                      17                                                                  0.3759459336849654                                                          0.0234145567250777                                                         0.03689523932789203                                                         0.01289762003730329                                                         0.025563058136246056                           
                                      18                                                                  0.3771014000489669                                                         0.03180099831818987                                                         0.050110085686946255                                                        0.01091430441291257                                                         0.026376339457869557                           
                                      19                                                                 0.37829407249326064                                                         0.02711402191836441                                                         0.04272463235438191                                                         0.010539032712240442                                                        0.029300990410655627                           
                                      20                                                                 0.37912007455571783                                                         0.025658222648885082                                                        0.04043067210172921                                                         0.013068524735393586                                                        0.029152844741589766                           
