#        k_frame                  mesh_V                 im_ener                  im_err                 reg_ener       
            0              0.35999999999999727             0.0                     0.0             0.22057217261779363  
            1              0.36068159246849046     0.008584010632774466    0.013547952680855846    0.009236812576952996 
            2              0.36087728078994114      0.0182022755040332     0.02872824577721169     0.016867493601831162 
            3               0.3622046143699652     0.018656727600006376    0.02944549739249427     0.007001619140230413 
            4               0.363381004902759      0.017077249267309632    0.026952641939809882    0.009535594302239485 
            5               0.3641159722704725     0.012283318103017905    0.01938648721941289     0.011816259118673398 
            6              0.36437734850528475     0.017062194333500844    0.026928881073289505    0.020231909612748865 
            7               0.3656306419590435     0.021686161906701355    0.03422678604562812     0.006718392944890561 
            8              0.36668381387964927     0.018369955356114406    0.028992891150885325    0.013839883099260658 
            9               0.3674445918022949     0.01549261872879939     0.024451654875510667    0.015419531906407068 
            10             0.36793718297766376     0.018192282577452434    0.02871247416388882     0.017137155655652977 
            11              0.3693121382177863     0.022494214162975746    0.035502116913680166    0.011686987125998437 
            12              0.3707288753374228     0.019766591050238397    0.03119717014189007     0.014517463737225183 
            13              0.3715982310028637     0.01895348973020308     0.02991387044902617     0.013429282878057358 
            14             0.37241300255221105     0.020540450975233708    0.03241853601548504     0.012505605564512204 
            15              0.3737987923425959     0.018366744692084745    0.028987823831399268    0.012804866261495126 
            16              0.3750149962576095     0.017857150942436926    0.028183543372993416    0.011420037101234862 
            17             0.37562961282615775     0.018692636263374363    0.02950217123563757     0.015152716305441061 
            18             0.37672185632186644     0.02562379142639369     0.04044145896365205     0.01198775521571113  
            19             0.37801840145953963      0.0217391316037773     0.034310386938055285    0.015179956730007795 
            20             0.37900174863659397     0.02085502150337025     0.032915015669612434    0.012995906064131639 
