#        k_frame                  mesh_V                 im_ener                  im_err        
            0               0.3600000000000002             0.0                     0.0          
            1               0.3556099377137024     0.06449753765488717     0.10102915328987694  
            2              0.35239301925586836     0.06393624671898417      0.1001499453376759  
            3               0.3499787005358664     0.06486875208060067     0.10161062477673426  
            4              0.34551709627558863     0.07093268721537599     0.11110919254453284  
            5              0.34426168842935245     0.06550185636055746     0.10260232138522307  
            6              0.34068815998918295     0.06606559703254257     0.10348536661201099  
            7               0.335933186281782      0.06605950739599281     0.10347582778546296  
            8               0.3330878433039713     0.06381072491025208     0.09995332756718874  
            9               0.3310167978359756     0.06672340319445641     0.10451575632894282  
            10              0.3279730979361508     0.06550336649477574      0.1026046868643867  
            11             0.32528246472491557     0.06794581728261222     0.10643054974255836  
            12             0.32245687848112786     0.06913429886806033     0.10829219117328878  
            13             0.31878109252123615     0.06845662533970497     0.10723068114878138  
            14              0.3148079688012274      0.0670709502019878     0.10506015509478729  
            15             0.31141075138497104     0.06645794839071838      0.1040999470587985  
            16              0.3101708824136128      0.0636682926787491     0.09973022125533337  
            17             0.30563336247003203     0.06538531453744542      0.1024197698934922  
            18             0.30353916075849796     0.06279059162313079      0.0983553874598911  
            19             0.30032139041852385     0.06446284765894629      0.1009748147671214  
            20             0.29618686754226153     0.06423090095325291     0.10061149269101417  
