#                              k_frame                                                               mesh_V                                                              im_ener                                                               im_err                                    reg_discrete-equilibrated_ciarletgeymonatneohookean_0.1_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.1_ener
                                  0                                                            0.359999999999997                                                           0.0                                                                  0.0                                                                  0.0                                                                  0.0                                 
                                  1                                                            0.3550303074873923                                                  0.19244861988974987                                                   0.2869260086486459                                                   0.4227838638637093                                                  0.007760297657040209                        
                                  2                                                           0.35016032548425996                                                  0.19195295100435503                                                   0.2861870046746027                                                  0.39422327677418617                                                  0.07730956709239895                         
                                  3                                                           0.35031403393393235                                                  0.19183744662871666                                                   0.2860147965834126                                                  0.38320628873093016                                                  0.030905606777780113                        
                                  4                                                            0.3486785048535814                                                  0.19215974239005548                                                  0.28649531463783307                                                  0.44953329926577085                                                  0.013983816290666718                        
                                  5                                                           0.34527173404861566                                                  0.19969095387976057                                                  0.29772376851953847                                                   0.4482392689279271                                                  0.08711049447951565                         
                                  6                                                           0.34112337161439604                                                  0.19342500519204953                                                   0.288381723622609                                                   0.44952520819398306                                                  0.03593608631387341                         
                                  7                                                            0.337866082115207                                                   0.19530720146452601                                                   0.2911879326994235                                                  0.41251958616949697                                                  0.012781750035236879                        
                                  8                                                           0.33498082657627176                                                  0.19309306143483418                                                  0.28788682115249414                                                  0.42454688524683243                                                  0.08832374657840071                         
                                  9                                                           0.33167668717801263                                                  0.19867812371648969                                                  0.29621371707644284                                                  0.46692249797205987                                                  0.09012390743021603                         
                                  10                                                          0.32842860461511286                                                  0.19627984014483787                                                  0.29263806174975937                                                   0.6811773158828207                                                   0.0688275398712926                         
                                  11                                                           0.3254586738230848                                                   0.2057047393806055                                                   0.3066898576066675                                                   0.915413534150477                                                   0.09799072745660771                         
                                  12                                                           0.3227760561388198                                                  0.20049669536017659                                                  0.29892506675233876                                                   0.6496735382435816                                                  0.10423329636995314                         
                                  13                                                          0.31595388700494664                                                   0.1996730956500286                                                   0.2976971432801293                                                  0.47362239204176154                                                   0.0717470865883591                         
                                  14                                                           0.3142223946568578                                                   0.2050041631500625                                                  0.30564535262814924                                                   0.7878041996795082                                                  0.08722796515273168                         
                                  15                                                           0.3134860476075659                                                  0.20426082004468452                                                    0.30453708554676                                                    0.7717502002388357                                                  0.11249956282132753                         
                                  16                                                          0.31033117578881986                                                  0.20553866585250502                                                  0.30644225482007764                                                   0.7671484773444232                                                  0.016070208695964962                        
                                  17                                                          0.30641081038884294                                                  0.20798461660808049                                                   0.3100889782315028                                                   1.0251437543698152                                                   0.0309991519600462                         
                                  18                                                           0.3054915662238577                                                   0.210517250083193                                                    0.3138649388738825                                                   1.0717686530782717                                                  0.027251072707594054                        
                                  19                                                          0.30234430422694175                                                   0.2054716067983702                                                  0.30634227495658123                                                   0.9971497748307797                                                   0.0335527103386899                         
                                  20                                                          0.29828480098437277                                                  0.19494329838396313                                                  0.29064538134987017                                                   0.559868851132818                                                   0.09227813923043936                         
