#                               k_frame                                                                mesh_V                                                               im_ener                                                                im_err                                    reg_discrete-equilibrated_ciarletgeymonatneohookean_0.05_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.05_ener
                                   0                                                             0.3600000000000002                                                           0.0                                                                   0.0                                                                   0.0                                                                   0.0                                 
                                   1                                                            0.35615502286646544                                                   0.12848916158984747                                                   0.19908928644053844                                                   0.13602492813233094                                                  0.0006860772047003916                        
                                   2                                                            0.35323546906697406                                                   0.12855848526413244                                                   0.19919670095454148                                                   0.11831332238746253                                                  0.0005163856048750224                        
                                   3                                                            0.34934010160357704                                                   0.13116751470632923                                                   0.20323929726011467                                                    0.1423489853947415                                                  0.0004526534671975825                        
                                   4                                                            0.34609093812633435                                                   0.12949815764005865                                                    0.2006526891522714                                                   0.13762082611080292                                                  0.0008862417802737616                        
                                   5                                                             0.3446325814975429                                                   0.13143564274314318                                                    0.2036547519090787                                                    0.1545324586400467                                                  0.0005163617131866558                        
                                   6                                                             0.3398223656344428                                                   0.12970684910188518                                                   0.20097604898828547                                                   0.13395539158269543                                                  0.0005298658736766437                        
                                   7                                                             0.3364868278266365                                                   0.13459304591179516                                                   0.20854703337526648                                                   0.10741142470250499                                                  0.0009434104936673665                        
                                   8                                                            0.33411070007118865                                                   0.12910556666895218                                                   0.20004438370974637                                                   0.15294533380896552                                                  0.0006449217221750934                        
                                   9                                                            0.33260393593679166                                                   0.12772412342291875                                                   0.19790388760324343                                                   0.14536594469416386                                                  0.0010211424466450255                        
                                   10                                                           0.32699894936414065                                                    0.1276168056312424                                                   0.19773760258509207                                                   0.15959210005866795                                                  0.0006824332690494653                        
                                   11                                                           0.32574477234057253                                                   0.12984951522967075                                                   0.20119710496863916                                                   0.14156429166399084                                                  0.0004860625564773023                        
                                   12                                                            0.3226408651453144                                                   0.13102409331797163                                                   0.20301707103095168                                                   0.20214677271449788                                                  0.0008986237617322504                        
                                   13                                                            0.318703234092759                                                    0.12981975455241182                                                   0.20115099188076344                                                   0.14212349812637054                                                  0.0010191161964956997                        
                                   14                                                            0.3158527605560552                                                   0.12977473124637748                                                    0.2010812299042616                                                   0.16759676040971322                                                   0.000829977751056479                        
                                   15                                                           0.31205292484848984                                                   0.13303339547276286                                                   0.20613041169946478                                                   0.17561958971337455                                                   0.002511632351691327                        
                                   16                                                            0.3084772596903044                                                   0.12845499578004327                                                    0.1990363477598714                                                   0.16248308790922206                                                  0.0008287899070073295                        
                                   17                                                            0.3039832632111775                                                   0.13201917522821052                                                   0.20455891428845335                                                   0.14511015336121294                                                  0.0007743715204464541                        
                                   18                                                            0.3049577426458147                                                   0.13120060963746827                                                   0.20329057665320702                                                    0.1676817774331064                                                  0.0011374695415569194                        
                                   19                                                            0.2995942255200651                                                   0.12920451123483565                                                   0.20019769471882423                                                    0.1650688589973922                                                   0.004054762851422999                        
                                   20                                                           0.29541397788642587                                                    0.1315993003301647                                                   0.20390833339266484                                                    0.1671645854131843                                                  0.0014450860548923757                        
