#                              k_frame                                                               mesh_V                                                              im_ener                                                               im_err                                    reg_discrete-equilibrated_ciarletgeymonatneohookean_0.1_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.1_ener
                                  0                                                            0.359999999999997                                                           0.0                                                                  0.0                                                                  0.0                                                                  0.0                                 
                                  1                                                            0.3573345979596192                                                  0.06902377469171142                                                  0.10846937722429424                                                  0.13923237142495565                                                 0.0009180069506628893                        
                                  2                                                            0.3527687480090496                                                  0.06829445409648578                                                  0.10732326559660783                                                  0.13979821065931608                                                 0.0008171441495981423                        
                                  3                                                           0.34978826069842966                                                  0.06698982636461878                                                  0.10527307117856553                                                  0.14313912078051413                                                 0.0010444981121967446                        
                                  4                                                           0.34840179717220654                                                  0.07093848565959254                                                  0.11147830432482168                                                  0.14142520936125072                                                 0.0026214863027799904                        
                                  5                                                            0.3446771162875571                                                  0.07070260933480685                                                   0.1111076297541287                                                  0.20743340544881572                                                  0.01776344532528787                         
                                  6                                                            0.3410100980847483                                                  0.06971069510182261                                                   0.1095488578731027                                                  0.19051085400396772                                                  0.029155219417805304                        
                                  7                                                           0.33831815281435546                                                  0.06994245772499393                                                  0.10991306785019454                                                  0.13722850972402575                                                 0.0020676002492241038                        
                                  8                                                            0.3347324876180395                                                  0.06949003100571334                                                  0.10920208899255916                                                   0.2933086199924909                                                  0.006583068598298594                        
                                  9                                                            0.3314286800118025                                                  0.07140594360796451                                                  0.11221290443565193                                                   0.1729054254569592                                                  0.02848381433281419                         
                                  10                                                           0.3287328472147385                                                  0.06949352053611062                                                  0.10920757271451856                                                  0.30896361130007594                                                  0.012613413079572044                        
                                  11                                                           0.3247404366666878                                                  0.07143299386049658                                                  0.11225541332565424                                                  0.40164312962798854                                                  0.01181545938914292                         
                                  12                                                          0.32331851172575443                                                   0.0708824687983874                                                  0.11139027503236239                                                   0.354382197127097                                                   0.014071636998733627                        
                                  13                                                           0.3196113025546582                                                  0.07093288609342119                                                  0.11146950472703025                                                   0.306973058583301                                                   0.04222479265394901                         
                                  14                                                          0.31581704876977135                                                  0.07033053471110462                                                   0.1105229224863184                                                  0.31692943921519157                                                  0.028555510222979936                        
                                  15                                                           0.3132125411051795                                                  0.07052936980732975                                                  0.11083538756308654                                                   0.3163182077716524                                                   0.0394944422154293                         
                                  16                                                          0.30998418762751173                                                  0.06825946396620848                                                  0.10726827935951595                                                  0.47803488315191706                                                  0.025120588019121204                        
                                  17                                                           0.3062151832288898                                                  0.06997895116500032                                                  0.10997041650618947                                                   0.3505799618300227                                                  0.04399624414443769                         
                                  18                                                           0.3042416477837835                                                  0.06997048145790667                                                  0.10995710654367549                                                   0.5234552642307534                                                  0.012513209146588463                        
                                  19                                                           0.3014960917921322                                                  0.07011046673041108                                                  0.11017709038832821                                                   0.501519025919137                                                   0.02167710145575578                         
                                  20                                                           0.2973704433542369                                                  0.06996587652840616                                                  0.10994986999601762                                                  0.47778661148082036                                                   0.0435335034354708                         
