#                               k_frame                                                                 mesh_V                                                                im_ener                                                                 im_err                                     reg_discrete-equilibrated_ciarletgeymonatneohookean_0.025_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.025_ener
                                   0                                                             0.35999999999999727                                                            0.0                                                                    0.0                                                                    0.0                                                                    0.0                                  
                                   1                                                              0.3556259025930604                                                    0.18288287055679922                                                    0.26982180728087596                                                     1.282598192569651                                                     0.03781923408817569                          
                                   2                                                              0.3533733007731534                                                    0.19815380853187067                                                     0.2923522502401482                                                     1.071112034693528                                                      0.2335546217653966                          
                                   3                                                              0.3532566582222555                                                     0.2155213593461391                                                     0.3179759947411016                                                     1.0563878045311492                                                    0.20101543010763356                          
                                   4                                                              0.3532566582222555                                                    0.23721071096275542                                                     0.3499760395464363                                                     1.0563878045311499                                                    0.20101543010767195                          
                                   5                                                              0.3532566582222555                                                    0.24863522989979647                                                    0.36683155115078653                                                     1.0563878045311508                                                    0.20101543010767187                          
                                   6                                                             0.35325747543370506                                                    0.27496136836244367                                                    0.40567262050348957                                                     1.0473161796655301                                                    0.19197653798380848                          
                                   7                                                             0.35325747543370506                                                     0.2908286801815857                                                    0.42908294175826456                                                     1.047316179665532                                                     0.19197653798391034                          
                                   8                                                              0.3532417341873464                                                    0.29182870404915395                                                     0.4305583573969724                                                     1.038275177896595                                                     0.25004913722248945                          
                                   9                                                             0.35345557316915266                                                     0.310099175573288                                                     0.45751425343855684                                                     1.364881925002268                                                     0.25253785983541627                          
                                   10                                                            0.35353610095862503                                                    0.31426137522676095                                                    0.46365508133208616                                                     1.2632709486892533                                                     0.2435834868051258                          
                                   11                                                            0.35386636464467336                                                     0.3154995454315885                                                     0.4654818534150634                                                     0.9681892399822545                                                     0.341683777475004                           
                                   12                                                            0.35400616080749064                                                     0.3188416831619571                                                     0.4704127779999856                                                     0.9600516504875516                                                     0.3340239931311235                          
                                   13                                                            0.35400616080749064                                                    0.32746470922481413                                                     0.4831350218570863                                                     0.9600516504875725                                                    0.33402399313104497                          
                                   14                                                             0.3540061608074907                                                    0.32583476160960273                                                     0.4807302290518853                                                     0.9600516504875591                                                    0.33402399313104714                          
                                   15                                                            0.35408774327742754                                                     0.3284503333943804                                                    0.48458919246323656                                                     0.9524138295568275                                                    0.34035703673328055                          
                                   16                                                            0.35422258367634013                                                     0.3176398822732408                                                    0.46863966449406824                                                     1.0280742188635463                                                    0.30395132972900485                          
                                   17                                                            0.35428981285114675                                                    0.32908801235966006                                                     0.485530011526022                                                      0.9991615437166858                                                    0.29680670537076626                          
                                   18                                                            0.35428981285114675                                                    0.32560949204896317                                                    0.48039787075177726                                                     0.9991615437193376                                                    0.29680670536349585                          
                                   19                                                            0.35428981285114675                                                    0.33030080522523997                                                     0.4873193423794356                                                     0.9991615437168259                                                     0.2968067053685619                          
                                   20                                                            0.35428981285114675                                                     0.339602993329281                                                      0.5010436086174783                                                     0.9991615437162628                                                     0.2968067053663678                          
