#        k_frame                  mesh_V                 im_ener                  im_err        
            0               0.359999999999997              0.0                     0.0          
            1              0.35661335518365855     0.05084033598717499     0.07971691556123166  
            2              0.34978849275552865     0.05274047236907861     0.08269630207726975  
            3               0.3449903022208821     0.05194707219290215     0.08145226201296961  
            4               0.3451566127003395     0.052211272314623906    0.08186652400368252  
            5               0.3442399662252677     0.052202565987570275     0.0818528726080907  
            6              0.33899712764936846     0.05205705344641733     0.08162471103655593  
            7               0.3374041491106387     0.05204400945419445     0.08160425824436991  
            8                0.3340985926597       0.051122923858609934    0.08016000927901296  
            9              0.32842534549536057     0.05244350368314864     0.08223065944920802  
            10             0.32525779784420167      0.0515610062749556     0.08084691620664414  
            11              0.3252243462391611     0.05248133527168224     0.08228997883587456  
            12              0.3228184846745624     0.054904634968846434    0.08608967790527346  
            13              0.3175165467478116     0.05342794584734497     0.08377425060285325  
            14              0.3126305429377315     0.051959809402022855    0.08147223377366405  
            15             0.31224034072551243     0.05095207656111284     0.07989212317393536  
            16              0.3085524409369632     0.05030374754656986      0.0788755526044321  
            17              0.3028596096450337     0.04916118404815373      0.077084029473083   
            18              0.3032059439976616     0.05129192789463056     0.08042500517660817  
            19             0.30085518556271973     0.05130070476093613     0.08043876717673243  
            20              0.2953418064517206     0.05049351255122241     0.07917310140222487  
