#                              k_frame                                                               mesh_V                                                              im_ener                                                               im_err                                    reg_discrete-equilibrated_ciarletgeymonatneohookean_0.1_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.1_ener
                                  0                                                           0.35999999999999727                                                          0.0                                                                  0.0                                                                  0.0                                                                  0.0                                 
                                  1                                                            0.3562744243864985                                                  0.20197499337006872                                                  0.30430940249273036                                                   0.3241244937662665                                                  0.07274082689600844                         
                                  2                                                           0.35218491327813917                                                  0.19768607180464712                                                   0.2978474185751458                                                   0.3651358312835504                                                  0.05276121118343805                         
                                  3                                                            0.3521849132781392                                                  0.20904336072795865                                                   0.314959090413935                                                   0.36513583128354954                                                  0.052761211183549754                        
                                  4                                                            0.3512120951735786                                                   0.223940191470618                                                    0.3374036791558094                                                  0.33391315396135973                                                  0.09086384016758088                         
                                  5                                                            0.3511649219123296                                                  0.24262437618264057                                                  0.36555455561288464                                                  0.33326621712737897                                                  0.09117647512050818                         
                                  6                                                            0.3510792795025398                                                  0.26233827344232097                                                   0.3952568677446866                                                   0.3288404720669258                                                  0.09450114621921953                         
                                  7                                                            0.3510792795025398                                                   0.2739724056822029                                                   0.4127856507458229                                                  0.32884047206693445                                                  0.09450114621925151                         
                                  8                                                           0.35107588203239964                                                   0.2956455265694348                                                   0.4454398638110114                                                   0.3277833808794794                                                   0.0935025235878326                         
                                  9                                                            0.3510758820323997                                                  0.30432483269412197                                                  0.45851670276411743                                                   0.3277833808794779                                                   0.0935025235877339                         
                                  10                                                           0.3510758820323997                                                  0.31764146667973014                                                   0.4785804584982238                                                   0.3277833808794838                                                  0.09350252358796955                         
                                  11                                                           0.3510758820323997                                                  0.32983481951761173                                                  0.49695180167574343                                                   0.3277833808794736                                                   0.0935025235879404                         
                                  12                                                          0.35107588203239964                                                  0.33245099162641223                                                   0.5008935063291929                                                  0.32778338087948067                                                  0.09350252358799861                         
                                  13                                                          0.35107588203239964                                                   0.3313459628557701                                                  0.49922859405802256                                                  0.32778338087947145                                                  0.09350252358798651                         
                                  14                                                           0.3518590792579015                                                   0.3296874477363316                                                  0.49672976122431245                                                   0.3264632131577055                                                  0.10464714572143563                         
                                  15                                                           0.3518590792579015                                                   0.3236844797699616                                                   0.4876852772288014                                                   0.3264632131577023                                                   0.1046471457215886                         
                                  16                                                          0.35185907925790155                                                   0.3224560233925309                                                  0.48583440044466714                                                   0.3264632131577044                                                  0.10464714572130525                         
                                  17                                                          0.35192664472302665                                                  0.31870750341978293                                                   0.4801866226970084                                                  0.32229411116818657                                                  0.11335469184973745                         
                                  18                                                          0.35281013023734675                                                   0.3244587758313376                                                   0.4888518848759078                                                   0.3183947137016406                                                  0.12533841637443163                         
                                  19                                                          0.35281013023734675                                                   0.3321849422387215                                                   0.5004926580417349                                                   0.3183947137016454                                                  0.12533841637442644                         
                                  20                                                           0.3552708004049269                                                   0.332902729277535                                                    0.5015741253127755                                                   0.3175086525582618                                                  0.12837620570447256                         
