#                              k_frame                                                               mesh_V                                                              im_ener                                                               im_err                                    reg_discrete-equilibrated_ciarletgeymonatneohookean_0.1_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.1_ener
                                  0                                                            0.3600000000000002                                                          0.0                                                                  0.0                                                                  0.0                                                                  0.0                                 
                                  1                                                           0.35626552297622593                                                  0.12694039716901911                                                  0.19674153743110134                                                  0.07739216970625902                                                 0.0004915749847964965                        
                                  2                                                           0.35302195283777144                                                  0.13213747260652436                                                  0.20479634610133718                                                  0.06793404238072508                                                 0.0002508658695894159                        
                                  3                                                           0.35151488711738615                                                  0.12996520181348672                                                   0.2014296015104103                                                  0.08673615774953856                                                 0.0004671531831769758                        
                                  4                                                            0.3476190043488541                                                  0.13131816858055786                                                  0.20352652863355727                                                  0.06838285221767122                                                 0.0003228557797600619                        
                                  5                                                            0.3441631416583336                                                   0.1339184935515833                                                  0.20755670298332596                                                  0.07191470322126799                                                 0.00021307645781670778                       
                                  6                                                            0.3426426732632356                                                  0.12936473613112362                                                  0.20049895575730592                                                  0.06580973992517264                                                 0.0002696773888477703                        
                                  7                                                           0.33819228057916007                                                  0.13048958402527647                                                  0.20224232752080454                                                  0.06554878001160427                                                 0.00020730774352533283                       
                                  8                                                            0.3345539176389502                                                   0.1270301041507913                                                  0.19688057189062538                                                  0.08026571998835434                                                 0.0005756974264604605                        
                                  9                                                           0.33075909502282436                                                   0.1351467460266122                                                   0.2094603387500314                                                  0.06937795568619504                                                 0.0005400724892395689                        
                                  10                                                          0.32808761703260336                                                  0.13334957908135642                                                   0.2066749576127785                                                  0.07249956045311902                                                 0.0008909090378092703                        
                                  11                                                           0.3254872104242744                                                  0.13301814720083682                                                  0.20616128017690055                                                  0.07263609932954931                                                 0.0003417202595830844                        
                                  12                                                           0.324070754432918                                                   0.13683233291991936                                                  0.21207278493941437                                                  0.08446122623102673                                                 0.0005690067673236118                        
                                  13                                                          0.32016387442077243                                                  0.13490864997679317                                                   0.2090913200298891                                                  0.07994338760192067                                                 0.0005125875684859249                        
                                  14                                                           0.3148510695074682                                                  0.13187821884516449                                                  0.20439453560812731                                                  0.07380102927796145                                                 0.00044043632419774737                       
                                  15                                                          0.31316880278480846                                                   0.1311840667900937                                                   0.2033186878435757                                                  0.07410352905440208                                                 0.0006501412122818917                        
                                  16                                                           0.3099406886451282                                                  0.13021627514743755                                                  0.20181873337726328                                                  0.08547208904749769                                                 0.0008723131142522677                        
                                  17                                                           0.3061683886399322                                                  0.13118182171697165                                                   0.2033152082645959                                                  0.07517679938461645                                                 0.0007622392197864336                        
                                  18                                                          0.30267554526210827                                                  0.13492139882633125                                                  0.20911107913191285                                                  0.11066148517876645                                                 0.0012829847458178149                        
                                  19                                                           0.2998746113930171                                                  0.13443440901368353                                                  0.20835630660409393                                                  0.09438691251341225                                                 0.0006322845763074614                        
                                  20                                                          0.29740000846043246                                                   0.1320904472951374                                                  0.20472346282488002                                                  0.08475911043424854                                                 0.0006337810690166108                        
