#                              k_frame                                                               mesh_V                                                              im_ener                                                               im_err                                    reg_discrete-equilibrated_ciarletgeymonatneohookean_0.1_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.1_ener
                                  0                                                            0.3600000000000002                                                          0.0                                                                  0.0                                                                  0.0                                                                  0.0                                 
                                  1                                                            0.3566838205665575                                                  0.022112794715882737                                                 0.034844001653776026                                                 0.00641706387803388                                                 0.0001547821257619407                        
                                  2                                                            0.3531371617883671                                                  0.022164527992443603                                                 0.03492551981541967                                                  0.011545265841631128                                                0.00023120471269805884                       
                                  3                                                            0.3502741927027336                                                  0.022425146705941004                                                  0.035336186988013                                                   0.011116000975297122                                                3.849564796040873e-05                        
                                  4                                                            0.3475995403661369                                                  0.031215248910854906                                                 0.04918709727321951                                                  0.00881710459241578                                                  5.88282115718094e-05                        
                                  5                                                           0.34445628861026517                                                  0.02631726142497744                                                  0.04146914546066519                                                  0.00977318825511321                                                 0.0001367558571182973                        
                                  6                                                           0.34119264386107573                                                  0.02492750591907376                                                  0.039279252967733456                                                 0.014734485004562215                                                8.731621085346196e-05                        
                                  7                                                            0.3378951581093547                                                  0.029053840936212487                                                 0.045781281590010936                                                 0.017067260847062702                                                9.539870121651133e-05                        
                                  8                                                            0.3347658181192127                                                  0.021515953711452793                                                 0.03390353577361022                                                  0.01731632536996231                                                  9.3379797361884e-05                         
                                  9                                                            0.3318407850384034                                                  0.02932794359093821                                                  0.04621319593992834                                                  0.017994711272396595                                                0.0001102352945832429                        
                                  10                                                           0.3285530347836294                                                  0.025752078065225916                                                 0.040578563778209474                                                 0.022217245140840874                                                 0.000741960324165555                        
                                  11                                                           0.3256542280213099                                                  0.02664956650304923                                                  0.04199277166163449                                                  0.025196492459665164                                                0.00021138421423480162                       
                                  12                                                           0.3227607195157425                                                  0.029487143261704492                                                 0.04646405313200803                                                  0.028265055132353292                                                0.00020890757096665957                       
                                  13                                                           0.3193646253993548                                                  0.031439964124748546                                                 0.04954118988725326                                                  0.03041707221905437                                                 0.0002123441444782835                        
                                  14                                                           0.3159130651489399                                                  0.028405758558319845                                                 0.04476007265928927                                                  0.03423692714760893                                                 0.0002044852684552437                        
                                  15                                                          0.31277492293788256                                                  0.029112151436387124                                                 0.04587316374197874                                                  0.036193298337317104                                                0.00038306215255550023                       
                                  16                                                           0.310081792506766                                                   0.01990177010997941                                                  0.031360003090297316                                                 0.034034424741316266                                                0.0001702630140598987                        
                                  17                                                          0.30649783693692334                                                  0.026125001515509234                                                  0.0411661939482246                                                  0.03830713969615513                                                  0.000625194612911496                        
                                  18                                                           0.3038787560974461                                                  0.023353918548724477                                                 0.03679968936488279                                                  0.04396750413509682                                                 0.00034893947485272413                       
                                  19                                                           0.3008751108213057                                                   0.0258643049558111                                                  0.040755404110306426                                                 0.04558262490701103                                                 0.00042116761453964786                       
                                  20                                                          0.29737479701370584                                                  0.027987380704544755                                                 0.04410081819524942                                                  0.04577188793666389                                                 0.0006099151203709298                        
