#                               k_frame                                                                 mesh_V                                                                im_ener                                                                 im_err                                     reg_discrete-equilibrated_ciarletgeymonatneohookean_0.025_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.025_ener
                                   0                                                              0.359999999999997                                                             0.0                                                                    0.0                                                                    0.0                                                                    0.0                                  
                                   1                                                              0.3571641158000918                                                    0.06492210040859668                                                    0.10222644242346357                                                     0.4140157668416266                                                    0.002908541626934514                         
                                   2                                                              0.3533879330855792                                                    0.06493737363426279                                                     0.1022504916688569                                                     0.3827109481533293                                                   0.0033277063392443285                         
                                   3                                                             0.34981959187200323                                                    0.06639176032483189                                                    0.10454057126192605                                                     0.4075669872378197                                                   0.0018850368484826532                         
                                   4                                                              0.3482504490876831                                                    0.06783022501717674                                                    0.10680558005130134                                                    0.38021108803808745                                                    0.004585544531007735                         
                                   5                                                              0.3453164409257626                                                    0.06637192856150034                                                    0.10450934413588409                                                    0.41930040568671995                                                    0.00162751965001865                          
                                   6                                                              0.3427325635407621                                                    0.06585697674069815                                                    0.10369850018091675                                                     0.3946086639538628                                                   0.0049443041613408244                         
                                   7                                                              0.3382403323304762                                                    0.06966618594154406                                                    0.10969648703898888                                                     0.4258549062591554                                                    0.004394231321037936                         
                                   8                                                             0.33545535885206795                                                    0.06709050964069202                                                     0.1056408230445494                                                    0.41893068016767737                                                    0.012128601726265368                         
                                   9                                                             0.33209178019550706                                                     0.0698290445870231                                                    0.10995292452083939                                                     0.3565945261966615                                                     0.0477019827607352                          
                                   10                                                             0.3291776073791905                                                    0.06450437196958457                                                    0.10156868655988925                                                     0.399878323687826                                                    0.0057430182404601664                         
                                   11                                                            0.32633367234401045                                                     0.0683003364182526                                                    0.10754581821014457                                                    0.38688572856661385                                                    0.01898063541413959                          
                                   12                                                            0.32362650110745494                                                    0.06766293053016481                                                     0.1065421578863274                                                     0.3840679707984112                                                    0.016300832297320555                         
                                   13                                                             0.3199797952837802                                                     0.0690240738399329                                                    0.10868541630388263                                                    0.40098842258428546                                                    0.01947537092550178                          
                                   14                                                             0.315978440505986                                                     0.06966340803878569                                                    0.10969211294889324                                                     0.418436795346258                                                     0.07000012904569279                          
                                   15                                                            0.31326011459322134                                                     0.071642940975602                                                     0.11280908865542794                                                    0.33065393335919613                                                    0.03586663160993516                          
                                   16                                                            0.31090538405802026                                                    0.06606730334284804                                                    0.10402968078273768                                                    0.40299688021003394                                                    0.05572427090927603                          
                                   17                                                             0.3074677946433821                                                    0.06738106252508556                                                    0.10609832807781992                                                     0.4132880012362325                                                    0.06770827173080758                          
                                   18                                                            0.30451986240924767                                                    0.06728696784310771                                                    0.10595016644212077                                                     0.507104061282683                                                     0.02533867482236559                          
                                   19                                                            0.30203167404944953                                                    0.06831707355196252                                                    0.10757217252746891                                                     0.456729576745285                                                     0.02903268982010529                          
                                   20                                                             0.2979130030981776                                                    0.06887959565230058                                                    0.10845792072015245                                                     0.441891276803605                                                     0.06952811771171047                          
